symbol,ticker,market,currency,yahoo_symbol,figi
AGNCL.US,AGNCL,US,USD,AGNCL,
AGNCM.US,AGNCM,US,USD,AGNCM,
AGNCN.US,AGNCN,US,USD,AGNCN,
AGNCO.US,AGNCO,US,USD,AGNCO,
AGNCP.US,AGNCP,US,USD,AGNCP,
AGNCZ.US,AGNCZ,US,USD,AGNCZ,
AGNPF.US,AGNPF,US,USD,AGNPF,
AGNT.US,AGNT,US,USD,AGNT,
AGO.US,AGO,US,USD,AGO,
AGPU.US,AGPU,US,USD,AGPU,
AGQ.US,AGQ,US,USD,AGQ,
AGQPF.US,AGQPF,US,USD,AGQPF,
AGRO.US,AGRO,US,USD,AGRO,
AGRZ.US,AGRZ,US,USD,AGRZ,
AGSS.US,AGSS,US,USD,AGSS,
AGTX.US,AGTX,US,USD,AGTX,
AGX.US,AGX,US,USD,AGX,
AGXPF.US,AGXPF,US,USD,AGXPF,
AGXXF.US,AGXXF,US,USD,AGXXF,
AGYS.US,AGYS,US,USD,AGYS,
AGYXY.US,AGYXY,US,USD,AGYXY,
AHCO.US,AHCO,US,USD,AHCO,
AHG.US,AHG,US,USD,AHG,
AHII.US,AHII,US,USD,AHII,
AHL-PD.US,AHL-PD,US,USD,AHL-PD,
AHL-PE.US,AHL-PE,US,USD,AHL-PE,
AHL-PF.US,AHL-PF,US,USD,AHL-PF,
AHMA.US,AHMA,US,USD,AHMA,
AHNRF.US,AHNRF,US,USD,AHNRF,
AHR.US,AHR,US,USD,AHR,
AHRO.US,AHRO,US,USD,AHRO,
AHRT-PA.US,AHRT-PA,US,USD,AHRT-PA,
AHRT.US,AHRT,US,USD,AHRT,
AHT-PD.US,AHT-PD,US,USD,AHT-PD,
AHT-PF.US,AHT-PF,US,USD,AHT-PF,
AHT-PG.US,AHT-PG,US,USD,AHT-PG,
AHT-PH.US,AHT-PH,US,USD,AHT-PH,
AHT-PI.US,AHT-PI,US,USD,AHT-PI,
AHT.US,AHT,US,USD,AHT,
AI.US,AI,US,USD,AI,
AIAI.US,AIAI,US,USD,AIAI,
AIB.US,AIB,US,USD,AIB,
AIBRF.US,AIBRF,US,USD,AIBRF,
AIBT.US,AIBT,US,USD,AIBT,
AIBZ.US,AIBZ,US,USD,AIBZ,
AIDX.US,AIDX,US,USD,AIDX,
AIEV.US,AIEV,US,USD,AIEV,
AIFA.US,AIFA,US,USD,AIFA,
AIFC.US,AIFC,US,USD,AIFC,
AIFF.US,AIFF,US,USD,AIFF,
AIFU.US,AIFU,US,USD,AIFU,
AIG.US,AIG,US,USD,AIG,
AII.US,AII,US,USD,AII,
AIIA-RI.US,AIIA-RI,US,USD,AIIA-RI,
AIIA-UN.US,AIIA-UN,US,USD,AIIA-UN,
AIIA.US,AIIA,US,USD,AIIA,
AIIO.US,AIIO,US,USD,AIIO,
AIIOW.US,AIIOW,US,USD,AIIOW,
AIIR.US,AIIR,US,USD,AIIR,
AIJTY.US,AIJTY,US,USD,AIJTY,
AIKCF.US,AIKCF,US,USD,AIKCF,
