symbol,cik
CIG.US,1157557
GLBE.US,1835963
EPRT.US,1728951
QBTS.US,1907982
ANF.US,1018840
LOAR.US,2000178
ESNT.US,1448893
GDS.US,1526125
ORKA.US,907654
VSXY.US,1856437
RYN.US,52827
LKQ.US,1065696
ECG.US,2015845
BLCO.US,1860742
TBBB.US,1978954
EPAM.US,1352010
LQDA.US,1819576
ERELY.US,1454144
CZR.US,1590895
HWC.US,750577
SLFPY.US,1370418
ENIC.US,1659939
PL.US,1836833
ANDG.US,2065708
CRUS.US,772406
DNTH.US,1690585
IFS.US,1615903
DLB.US,1308547
KNSA.US,1730430
GBCI.US,868671
FSV.US,1637810
HOMB.US,1331520
NTSK.US,2063196
TXNM.US,1108426
PEGA.US,1013857
STWD.US,1465128
VIPS.US,1529192
SNDR.US,1692063
AMRX.US,1723128
RDNT.US,790526
JBTM.US,1433660
G.US,1398659
VAL.US,314808
ORA.US,1296445
ACI.US,1646972
CHDN.US,20212
COGT.US,1622229
LSTR.US,853816
AGX.US,100591
BGC.US,1094831
RNG.US,1384905
CORZ.US,1839341
STVN.US,1849853
YOU.US,1856314
NICE.US,1003935
ELF.US,1600033
MKTX.US,1278021
CRGY.US,1866175
AROC.US,1389050
BEPC.US,1791863
XENE.US,1582313
LYFT.US,1759509
LGND.US,886163
EXP.US,918646
CWST.US,911177
BXSL.US,1736035
RRR.US,1653653
POR.US,784977
ABCB.US,351569
AUB.US,883948
ASB.US,7789
RUSHA.US,1012019
ERAS.US,1761918
BYD.US,906553
CMBT.US,1604481
ROAD.US,1718227
M.US,794367
FTDR.US,1727263
OTEX.US,1002638
NOVT.US,1076930
RLI.US,84246
PTCT.US,1070081
ENVA.US,1529864
HRB.US,12659
MUR.US,717423
TFX.US,96943
OBDC.US,1655888
IBP.US,1580905
VSEC.US,102752
SXT.US,310142
FLG.US,910073
PI.US,1114995
BKH.US,1130464
CVLT.US,1169561
BBUC.US,1654795
RITM.US,1556593
SAIC.US,1571123
PECO.US,1476204
NJR.US,356309
SIGI.US,230557
VIRT.US,1592386
PIPR.US,1230245
MTRN.US,1104657
WFG.US,1402388
CROX.US,1334036
GLNG.US,1207179
WPP.US,806968
OZK.US,1569650
EXLS.US,1297989
CNX.US,1070412
HLNE.US,1433642
KRG.US,1286043
CPA.US,1345105
TTAN.US,1638826
BTDPY.US,1516324
KLAR.US,2003292
BCPC.US,9326
BLSH.US,1872195
ACIW.US,935036
AX.US,1299709
SBRA.US,1492298
MAIN.US,1396440
DFTX.US,1813814
SHC.US,1822479
GVA.US,861459
QLYS.US,1107843
MWH.US,2065636
GXO.US,1852244
PRM.US,1880319
GOSS.US,1728117
NXST.US,1142417
PSMT.US,1041803
