symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
ABVC.US,"ABVC BIOPHARMA, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABVC,US,United States,,,,,,,
ABVEF.US,Above Food Ingredients Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABVEF,US,United States,,,,,,,
ABVX.US,Abivax S.A.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABVX,US,United States,,,,,,,
ABX.US,"Abacus Global Management, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABX,US,United States,,,,,,,
ABXL.US,"Abacus Global Management, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABXL,US,United States,,,,,,,
ABXXF.US,Abaxx Technologies Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABXXF,US,United States,,,,,,,
ACA.US,"Arcosa, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACA,US,United States,,,,,,,
ACAA.US,Averin Capital Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACAA,US,United States,,,,,,,
ACAAU.US,Averin Capital Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACAAU,US,United States,,,,,,,
ACAAW.US,Averin Capital Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACAAW,US,United States,,,,,,,
ACAD.US,ACADIA PHARMACEUTICALS INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACAD,US,United States,,,,,,,
ACAT.US,NP Life Sciences Health Industry Group Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACAT,US,United States,,,,,,,
ACB.US,AURORA CANNABIS INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACB,US,United States,,,,,,,
ACBM.US,"ACRO BIOMEDICAL CO., LTD.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACBM,US,United States,,,,,,,
ACCL.US,Acco Group Holdings Ltd,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACCL,US,United States,,,,,,,
ACCO.US,ACCO BRANDS Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACCO,US,United States,,,,,,,
ACCS.US,ACCESS Newswire Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACCS,US,United States,,,,,,,
ACCV.US,Accelevation Holdings Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACCV,US,United States,,,,,,,
ACDC.US,ProFrac Holding Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACDC,US,United States,,,,,,,
ACEL.US,"Accel Entertainment, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACEL,US,United States,,,,,,,
ACET.US,"Adicet Bio, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACET,US,United States,,,,,,,
ACFN.US,"ACORN ENERGY, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACFN,US,United States,,,,,,,
ACGC.US,ACP Holdings Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACGC,US,United States,,,,,,,
ACGCU.US,ACP Holdings Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACGCU,US,United States,,,,,,,
ACGCW.US,ACP Holdings Acquisition Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACGCW,US,United States,,,,,,,
ACGL.US,ARCH CAPITAL GROUP LTD.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACGL,US,United States,,,,,,,
ACGLN.US,ARCH CAPITAL GROUP LTD.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACGLN,US,United States,,,,,,,
ACGLO.US,ARCH CAPITAL GROUP LTD.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACGLO,US,United States,,,,,,,
ACGP.US,"Associated Capital Group, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACGP,US,United States,,,,,,,
ACH.US,ACCENDRA HEALTH INC/VA/,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACH,US,United States,,,,,,,
ACHC.US,"Acadia Healthcare Company, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACHC,US,United States,,,,,,,
ACHR-WT.US,Archer Aviation Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACHR-WT,US,United States,,,,,,,
ACHR.US,Archer Aviation Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACHR,US,United States,,,,,,,
ACHV.US,"ACHIEVE LIFE SCIENCES, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACHV,US,United States,,,,,,,
ACI.US,"Albertsons Companies, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACI,US,United States,,,,,,,
ACIC.US,AMERICAN COASTAL INSURANCE Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACIC,US,United States,,,,,,,
ACIU.US,AC Immune SA,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACIU,US,United States,,,,,,,
ACIW.US,"ACI WORLDWIDE, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACIW,US,United States,,,,,,,
ACLEW.US,Aedis Energy Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACLEW,US,United States,,,,,,,
ACLS.US,AXCELIS TECHNOLOGIES INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACLS,US,United States,,,,,,,
ACM.US,AECOM,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACM,US,United States,,,,,,,
ACMIF.US,Allied Critical Metals Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACMIF,US,United States,,,,,,,
ACMR.US,"ACM Research, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACMR,US,United States,,,,,,,
ACN.US,Accenture plc,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACN,US,United States,,,,,,,
