symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
CPS.PL,CYFROWY POLSAT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CPS,PL,Poland (GPW),,,,,,,
CRI.PL,CREOTECH INSTRUMENTS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CRI,PL,Poland (GPW),,,,,,,
CRJ.PL,CREEPY JAR SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CRJ,PL,Poland (GPW),,,,,,,
CRM.PL,PZ CORMAY SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CRM,PL,Poland (GPW),,,,,,,
CRQ.PL,CREOTECH QUANTUM SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CRQ,PL,Poland (GPW),,,,,,,
CSR.PL,CASPAR ASSET MANAGEMENT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CSR,PL,Poland (GPW),,,,,,,
CTS.PL,CITY SERVICE SE,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CTS,PL,Poland (GPW),,,,,,,
CTX.PL,CAPTOR THERAPEUTICS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CTX,PL,Poland (GPW),,,,,,,
CZT.PL,CZERWONA TOREBKA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,CZT,PL,Poland (GPW),,,,,,,
DAD.PL,DADELO SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DAD,PL,Poland (GPW),,,,,,,
DAT.PL,DATAWALK SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DAT,PL,Poland (GPW),,,,,,,
DBC.PL,FIRMA OPONIARSKA DĘBICA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DBC,PL,Poland (GPW),,,,,,,
DBE.PL,DB ENERGY SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DBE,PL,Poland (GPW),,,,,,,
DCR.PL,DECORA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DCR,PL,Poland (GPW),,,,,,,
DEK.PL,DEKPOL SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DEK,PL,Poland (GPW),,,,,,,
DEL.PL,DELKO SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DEL,PL,Poland (GPW),,,,,,,
DGA.PL,DGA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DGA,PL,Poland (GPW),,,,,,,
DGE.PL,DRAGO ENTERTAINMENT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DGE,PL,Poland (GPW),,,,,,,
DIA.PL,DIAGNOSTYKA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DIA,PL,Poland (GPW),,,,,,,
DIG.PL,DIGITAL NETWORK SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DIG,PL,Poland (GPW),,,,,,,
DMG.PL,DR. MIELE COSMED GROUP SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DMG,PL,Poland (GPW),,,,,,,
DNP.PL,DINO POLSKA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DNP,PL,Poland (GPW),,,,,,,
DOM.PL,DOM DEVELOPMENT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DOM,PL,Poland (GPW),,,,,,,
DTR.PL,DIGITREE GROUP SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DTR,PL,Poland (GPW),,,,,,,
DVL.PL,DEVELIA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,DVL,PL,Poland (GPW),,,,,,,
EAH.PL,ESOTIQ & HENDERSON SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EAH,PL,Poland (GPW),,,,,,,
EAT.PL,AMREST HOLDINGS SE,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EAT,PL,Poland (GPW),,,,,,,
EBP.PL,ERSTE BANK POLSKA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EBP,PL,Poland (GPW),,,,,,,
ECB.PL,ECB SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ECB,PL,Poland (GPW),,,,,,,
ECH.PL,ECHO INVESTMENT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ECH,PL,Poland (GPW),,,,,,,
EDI.PL,ED INVEST SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EDI,PL,Poland (GPW),,,,,,,
EEX.PL,EKO EXPORT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EEX,PL,Poland (GPW),,,,,,,
EFK.PL,KORPORACJA GOSPODARCZA EFEKT SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EFK,PL,Poland (GPW),,,,,,,
EHG.PL,EUROHOLD BULGARIA AD,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EHG,PL,Poland (GPW),,,,,,,
EKP.PL,ELKOP ESTONIA SE,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EKP,PL,Poland (GPW),,,,,,,
ELT.PL,ELEKTROTIM SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ELT,PL,Poland (GPW),,,,,,,
ENA.PL,ENEA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ENA,PL,Poland (GPW),,,,,,,
ENE.PL,CENTRUM MEDYCZNE ENEL-MED SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ENE,PL,Poland (GPW),,,,,,,
ENG.PL,ENERGA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ENG,PL,Poland (GPW),,,,,,,
ENI.PL,ENERGOINSTAL SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ENI,PL,Poland (GPW),,,,,,,
ENP.PL,ENERGOAPARATURA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ENP,PL,Poland (GPW),,,,,,,
ENT.PL,ENTER AIR SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ENT,PL,Poland (GPW),,,,,,,
EQU.PL,EQUNICO SE,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EQU,PL,Poland (GPW),,,,,,,
ERB.PL,ERBUD SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ERB,PL,Poland (GPW),,,,,,,
ERG.PL,ERG SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ERG,PL,Poland (GPW),,,,,,,
